MarkNumber	dpar_label	Group	Strata	Occasion	OccNum	Session	SessNum
4	S Overall Survival	TRUE	FALSE	FALSE	0	FALSE	0
5	N Population Size	TRUE	FALSE	FALSE	0	FALSE	0
7	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
12	N Population Size	TRUE	FALSE	FALSE	0	FALSE	0
13	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
15	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
15	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
16	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
16	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
17	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
17	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
18	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
19	B*Gross Births	TRUE	FALSE	TRUE	nocc-1	FALSE	0
19	BNet Births	TRUE	FALSE	TRUE	nocc-1	FALSE	0
19	N Population Size	TRUE	FALSE	TRUE	nocc	FALSE	0
19	GrossN* Population Size	TRUE	FALSE	FALSE	0	FALSE	0
22	N Population Size	TRUE	FALSE	FALSE	0	FALSE	0
23	N Population Size	TRUE	FALSE	FALSE	0	FALSE	0
24	S Overall Survival	TRUE	FALSE	FALSE	0	FALSE	0
25	N Population Size	TRUE	FALSE	FALSE	0	FALSE	0
26	N Population Size	TRUE	FALSE	FALSE	0	FALSE	0
27	Occupancy	TRUE	FALSE	FALSE	0	FALSE	0
28	gamma Probability Colonization	TRUE	FALSE	FALSE	0	TRUE	nocc-1
28	lambda Rate of Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
28	logodds(lambda)	TRUE	FALSE	FALSE	0	TRUE	nocc-1
29	epsilon Probabiliy Extinction	TRUE	FALSE	FALSE	0	TRUE	nocc-1
29	lambda Rate of Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
29	logodds(lambda)	TRUE	FALSE	FALSE	0	TRUE	nocc-1
30	psi Probability Occupied	TRUE	FALSE	FALSE	0	TRUE	nocc
30	lambda Rate of Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
30	logodds(lambda)	TRUE	FALSE	FALSE	0	TRUE	nocc-1
31	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
31	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
32	N Population Size	TRUE	TRUE	FALSE	0	TRUE	nocc
32	Method1RT Residency Time	TRUE	TRUE	FALSE	0	TRUE	nocc
32	Method2RT Residency Time	TRUE	TRUE	FALSE	0	TRUE	nocc
32	Alpha Presence Probability 	TRUE	TRUE	TRUE	secnocc	FALSE	0
32	MeanArrivalTime	TRUE	TRUE	FALSE	0	TRUE	nocc
32	MeanDepartureTime	TRUE	TRUE	FALSE	0	TRUE	nocc
33	N Population Size	TRUE	TRUE	FALSE	0	TRUE	nocc
34	N Population Size	TRUE	TRUE	FALSE	0	TRUE	nocc
35	N Population Size	TRUE	TRUE	FALSE	0	TRUE	nocc
36	N Population Size	TRUE	TRUE	FALSE	0	TRUE	nocc
37	N Population Size	TRUE	TRUE	FALSE	0	TRUE	nocc
38	N Population Size	TRUE	TRUE	FALSE	0	TRUE	nocc
39	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
40	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
41	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
42	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
43	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
