MarkNumber	model	etype	robust	closed	occupancy	derived	default.mixtures	num	divisor	strata	simulate	LD	nDerived
1	CJS	Live	FALSE	FALSE	FALSE	FALSE	1	-1	1	FALSE	TRUE	FALSE	0
2	Recovery	Dead	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE	TRUE	FALSE	0
3	Burnham	Both	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE	TRUE	TRUE	0
4	Known	Known	FALSE	FALSE	FALSE	TRUE	1	0	2	FALSE	TRUE	FALSE	ngrps
5	Closed	Closed	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE	TRUE	FALSE	ngrps
7	Robust	Robust	TRUE	FALSE	FALSE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps*nprimy
8	Barker	Barker	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE	TRUE	TRUE	0
9	Multistrata	Multistrata	FALSE	FALSE	FALSE	FALSE	1	-1	1	TRUE	TRUE	FALSE	0
10	Brownie	Brownie	FALSE	FALSE	FALSE	FALSE	1	0	2	FALSE	TRUE	FALSE	0
11	Jolly	Jolly	FALSE	FALSE	FALSE	FALSE	1	-1	1	FALSE	FALSE	FALSE	0
12	Huggins	Huggins	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE	TRUE	FALSE	ngrps
13	RDHuggins	RDHuggins	TRUE	FALSE	FALSE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps*nprimy
14	Pradel	Pradel	FALSE	FALSE	FALSE	FALSE	1	-1	1	FALSE	FALSE	FALSE	0
15	Pradsen	PradSen	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE	TRUE	FALSE	ngrps*(noccas-1)*2
16	Pradlambda	PradLambda	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE	TRUE	FALSE	ngrps*(noccas-1)*2
17	Pradrec	PradRec	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE	TRUE	FALSE	ngrps*(noccas-1)*2
18	RDBarker	RDBarker	TRUE	TRUE	FALSE	TRUE	1	0	2	FALSE	TRUE	TRUE	ngrps*nprimy
19	POPAN	POPAN	FALSE	FALSE	FALSE	TRUE	1	-1	1	FALSE	TRUE	FALSE	ngrps*noccas+ngrps*(noccas-1)*2+ngrps
